name,group,nodesize
html,Web,272.45
css,Web,341.17
hibernate,Java,29.83
spring,Java,52.84
ruby,JavaScript,70.14
ruby-on-rails,JavaScript,55.31
ios,iOS/Apple,87.46
swift,iOS/Apple,63.62
html5,Web,140.18
c,Data/Science,189.83
c++,Data/Science,268.11
asp.net,.NET,129.55
c#,.NET,321.13
objective-c,iOS/Apple,47.01
javascript,Web,649.16
jquery,Web,208.29
redux,JavaScript,8.52
reactjs,JavaScript,59.03
php,Web,361.22
mysql,Web,165.43
spring-mvc,Java,18
.net,.NET,75.08
react-native,JavaScript,13.61
spring-boot,Java,12.37
less,Web,9.73
sass,Web,30.55
hadoop,Big Data,17.95
apache-spark,Big Data,11.04
sql-server,.NET,64.62
express,JavaScript,14.27
node.js,JavaScript,117.36
mongodb,JavaScript,50.95
iphone,iOS/Apple,15.29
github,Infra/Sistemas,12.71
git,Infra/Sistemas,54.48
excel,Excel/VBA,12.5
excel-vba,Excel/VBA,11.38
entity-framework,.NET,12.88
linq,.NET,8.32
wcf,.NET,12.73
wpf,.NET,19.38
android,iOS/Apple,229.86
java,Java,610.65
scala,Big Data,27.02
ajax,Web,35.41
django,Data/Science,40.91
python,Data/Science,438.67
vba,Excel/VBA,16.87
xcode,iOS/Apple,11.37
apache,Infra/Sistemas,13.17
nginx,Infra/Sistemas,9.49
angularjs,Web,126.59
asp.net-web-api,.NET,11.28
laravel,Web,32.12
plsql,.NET,10.32
oracle,.NET,30.19
json,Web,25.38
xml,Web,23.77
flask,Data/Science,9.39
wordpress,Web,46.74
java-ee,Java,22.45
maven,Java,10.3
jsp,Java,13.78
bash,Infra/Sistemas,23.91
linux,Infra/Sistemas,108.54
angular2,Angular/Typescript,18.79
typescript,Angular/Typescript,17.53
codeigniter,Web,18.71
tdd,Metodologias,9.45
agile,Metodologias,12.22
twitter-bootstrap,Web,31.05
web-services,Java,18.94
rest,Java,27.08
testing,Testes,8.95
selenium,Testes,12.7
android-studio,iOS/Apple,14.79
redis,JavaScript,13.85
jenkins,DevOps/Cloud,10.02
docker,DevOps/Cloud,22.85
amazon-web-services,DevOps/Cloud,30.05
angular,Angular/Typescript,29.09
osx,iOS/Apple,12.58
machine-learning,Data/Science,44.21
qt,Data/Science,10.53
windows,Infra/Sistemas,19.71
ubuntu,Infra/Sistemas,11.98
ionic-framework,Web,8.44
elasticsearch,JavaScript,10.82
vue.js,Web,8.38
r,Data/Science,52.7
embedded,Data/Science,13.27
go,DevOps/Cloud,24.84
visual-studio,.NET,18.13
postgresql,JavaScript,39.03
sql,.NET,154.23
unix,Infra/Sistemas,15.67
eclipse,Java,11.39
vb.net,.NET,23.56
unity3d,.NET,19.36
devops,DevOps/Cloud,9.81
drupal,Web,8.25
shell,Infra/Sistemas,11.63
bootstrap,Web,13.28
xamarin,.NET,11.18
azure,.NET,13.68
mvc,.NET,10.92
haskell,Big Data,11.18
api,Java,8.61
twitter-bootstrap-3,Web,10.13
regex,Regex/Legacy,9.46
perl,Regex/Legacy,19.38
cloud,DevOps/Cloud,10.66
photoshop,Web,12.62
powershell,Infra/Sistemas,9.85
matlab,Data/Science,27.21
